Model,F1_Score
RandomForest,0.7796610169491526
LogisticRegression,0.7372881355932204
SVC,0.7570621468926554
DecisionTree,0.6581920903954802
GradientBoosting,0.7655367231638418
AdaBoost,0.7288135593220338
KNN,0.7005649717514124
GaussianNB,0.6694915254237288
